رتبه,تيم,بازی,امتياز
1, آرسنال,19,50
2, منچسترسیتی,20,45
3, نیوکسل,20,39
4, منچستریونایتد,20,39
5, تاتنهام,21,36
6, برایتون,19,31
7, فولام,21,31
8, برنتفورد,20,30
9, لیورپول,19,29
10, چلسی,20,29
11, استون ویلا,20,28
12, کریستال پالاس,20,24
13, ناتینگهام فارست,20,21
14, لسترسیتی,20,18
15, لیدز,19,18
16, وستهم,20,18
17, ولورهمپتون,20,17
18, بورنموث,20,17
19, اورتون,20,15
20, ساوتهمپتون,20,15
