title,url,type
خلاصه بسکتبال ذوب آهن 79 - بیروت 72,https://video.varzesh3.com/video/270762/خلاصه-بسکتبال-ذوب-آهن-79-بیروت-72,['video-type']
خلاصه والیبال پیکان 3 - لبنیات هراز 2,https://video.varzesh3.com/video/270761/خلاصه-والیبال-پیکان-3-لبنیات-هراز-2,['video-type']
کوهیان: سطح تیم لبنان با ستاره آمریکایی بالا رفته,https://www.varzesh3.com/news/1866770/کوهیان-سطح-تیم-لبنان-با-ستاره-آمریکایی-بالا-رفته,['text-type']
على ارسلان در خانه كشتى آفتابى شد (عكس),https://www.varzesh3.com/news/1866772/على-ارسلان-در-خانه-كشتى-آفتابى-شد-عكس,['text-type']
انتصاب جديد در فدراسيون تكواندو توسط هادى ساعى,https://www.varzesh3.com/news/1866771/انتصاب-جديد-در-فدراسيون-تكواندو-توسط-هادى-ساعى,['text-type']
ذوب آهن، از بيروت لبنان انتقام گرفت,https://www.varzesh3.com/news/1866769/انتقام-بسکتبالیست-های-ذوب-آهن-از-حریف-لبنانی,['text-type']
خلاصه والیبال ایفا سرام 2 - مس‌رفسنجان 3,https://video.varzesh3.com/video/270759/خلاصه-والیبال-ایفا-سرام-2-مس-رفسنجان-3,['video-type']
خلاصه بسکتبال واشینگتون ویزارد - دالاس ماوریکس,https://video.varzesh3.com/video/270729/خلاصه-بسکتبال-واشنگتون-ویزارد-دالاس-ماوریکس,['video-type']
ستاره سابق تیم ملی در نقش منجی ظاهر شد ,https://www.varzesh3.com/news/1866762/ستاره-سابق-تیم-ملی-در-نقش-منجی-ظاهر-شد,['text-type']
شکست مقابل پیکان را به فال نیک می‌گیریم,https://www.varzesh3.com/news/1866757/شکست-مقابل-پیکان-را-به-فال-نیک-می-گیریم,['text-type']
طعم شیرین انتقام با کمک هزار هوادار پرشور ,https://www.varzesh3.com/news/1866752/طعم-شیرین-انتقام-با-کمک-هزار-هوادار-پرشور,['text-type']
واکنش پیمان اکبری به پیروزی مهم مقابل تیم عطایی,https://www.varzesh3.com/news/1866751/واکنش-پیمان-اکبری-به-پیروزی-مهم-مقابل-تیم-عطایی,['text-type']
تعطیلی لیگ بسکتبال به خاطر انتخابی جام جهانی,https://www.varzesh3.com/news/1866748/تعطیلی-لیگ-بسکتبال-به-خاطر-انتخابی-جام-جهانی,['text-type']
اکبری با عطایی بی‌حساب شد: وعده دیدار، شاید فینال,https://www.varzesh3.com/news/1866743/اکبری-با-عطایی-بی-حساب-شد-وعده-دیدار-شاید-فینال,['text-type']
شگفتی ساز لیگ به تیم قعر جدولی نه نگفت!,https://www.varzesh3.com/news/1866738/شگفتی-ساز-لیگ-به-تیم-قعر-جدولی-نه-نگفت,['text-type']
معرفی دومین صعود کننده به پلی‌آف لیگ برتر والیبال,https://www.varzesh3.com/news/1866734/معرفی-دومین-صعود-کننده-به-پلی-آف-لیگ-برتر-والیبال,['text-type']
دبل شیرین: چشمک موسوی و رفقا به پلی‌آف,https://www.varzesh3.com/news/1866725/دبل-شیرین-چشمک-موسوی-و-رفقا-به-پلی-آف,['text-type']
نمایش یاران اسماعیل نژاد: در حد یک مدعی قهرمانی!,https://www.varzesh3.com/news/1866722/نمایش-یاران-اسماعیل-نژاد-در-حد-یک-مدعی-قهرمانی,['text-type']
پائول: نمی‌توانم حضورم در نیمه‌نهایی گرنداسلم را باور کنم,https://www.varzesh3.com/news/1866719/پائول-نمی-توانم-حضورم-در-نیمه-نهایی-گرنداسلم-را-باور-کنم,['text-type']
حضور غیرمنتظره برزگر در خانه کشتی (عکس),https://www.varzesh3.com/news/1866716/حضور-غیرمنتظره-برزگر-در-خانه-کشتی-عکس,['text-type']
جوکوویچ: تنیس به فدرر نیاز دارد ,https://www.varzesh3.com/news/1866710/جوکوویچ-تنیس-به-فدرر-نیاز-دارد,['text-type']
ابتکار NBA پیش از بازی ستاره‌ها,https://www.varzesh3.com/news/1866705/ابتکار-nba-پیش-از-بازی-ستاره-ها,['text-type']
توقف پینگ‌پنگ باز شگفتی‌ساز ایران در مسابقات قطر,https://www.varzesh3.com/news/1866704/توقف-پینگ-پنگ-باز-شگفتی-ساز-ایران-در-مسابقات-قطر,['text-type']
کسب سه کرسی در فدراسیون جهانی تیراندازی,https://www.varzesh3.com/news/1866702/کسب-سه-کرسی-در-فدراسیون-جهانی-تیراندازی,['text-type']
برگزاری المپیاد ورزش دانش آموزی در ۵ رشته ورزشی,https://www.varzesh3.com/news/1866700/برگزاری-المپیاد-ورزش-دانش-آموزی-در-۵-رشته-ورزشی,['text-type']
تاخت‌و‌تاز جوکوویچ به سوی فینال اوپن استرالیا,https://www.varzesh3.com/news/1866699/تاخت-و-تاز-جوکوویچ-به-سوی-فینال-اوپن-استرالیا,['text-type']
استارت MMA در ایران، بانوان فعلا ممنوع!,https://www.varzesh3.com/news/1866684/استارت-mma-در-ایران-بانوان-فعلا-ممنوع,['text-type']
برگزاری انتخابات 9 فدراسیون تا پایان 1401,https://www.varzesh3.com/news/1866686/برگزاری-انتخابات-9-فدراسیون-تا-پایان-1401,['text-type']
واکنش وزیر ورزش به تحریم از سوی اتحادیه اروپا ,https://www.varzesh3.com/news/1866680/واکنش-وزیر-ورزش-به-تحریم-از-سوی-اتحادیه-اروپا,['text-type']
قیاسی:  با وجود چرخه انتخابی به کشتی‌گیری ظلم نمی‌شود,https://www.varzesh3.com/news/1866674/قیاسی-با-وجود-چرخه-انتخابی-به-کشتی-گیری-ظلم-نمی-شود,['text-type']
نگران از دست دادن عنوان شماره یک جهان نیستم,https://www.varzesh3.com/news/1866671/نگران-از-دست-دادن-عنوان-شماره-یک-جهان-نیستم,['text-type']
سه تیم در کورس قهرمانی لیگ برتر تکواندو,https://www.varzesh3.com/news/1866666/سه-تیم-در-کورس-قهرمانی-لیگ-برتر-تکواندو,['text-type']
مشتاقانه منتظر دیدار با خاچانوف هستم,https://www.varzesh3.com/news/1866665/مشتاقانه-منتظر-دیدار-با-خاچانوف-هستم,['text-type']
ایرانمنش: بعد از سال‌ها رکورد شکستیم,https://www.varzesh3.com/news/1866662/ایرانمنش-بعد-ازسالها-رکوردشکستیم,['text-type']
لیگ NBA| شکست سنگین لیکرز با رکورد شکنی جیمز,https://www.varzesh3.com/news/1866656/لیگ-nba-شکست-سنگین-لیکرز-با-رکورد-شکنی-جیمز,['text-type']
پدیده ایران در المپیک: آماده بازگشت قوی به تیم ملی ,https://www.varzesh3.com/news/1866649/پدیده-ایران-در-المپیک-آماده-بازگشت-قوی-به-تیم-ملی,['text-type']
آغاز اردوی ۱۰ ملی پوش جودوی ناشنوایان ایران ,https://www.varzesh3.com/news/1866647/آغاز-اردوی-۱۰-ملی-پوش-جودوی-ناشنوایان-ایران,['text-type']
بذری: مشکل بزرگ مازندران، رقبای مازندرانی هستند,https://www.varzesh3.com/news/1866646/بذری-مشکل-بزرگ-مازندران-رقبای-مازندرانی-هستند,['text-type']
احتمال ورود یک عضو جدید فرمول یک در هفته آینده,https://www.varzesh3.com/news/1866645/احتمال-ورود-یک-عضو-جدید-فرمول-یک-در-هفته-آینده,['text-type']
گودرزی: روی سکو نرویم، کاری نکرده‌ایم,https://www.varzesh3.com/news/1866643/گودرزی-روی-سکو-نرویم-کاری-نکرده-ایم,['text-type']
رقابت وفایی در شوت اوت ۲۰۲۳,https://www.varzesh3.com/news/1866642/رقابت-وفایی-در-شوت-اوت-۲۰۲۳,['text-type']
آغاز اردوی تیم ملی تیراندازی با کمان از هشتم بهمن ماه,https://www.varzesh3.com/news/1866639/آغاز-اردوی-تیم-ملی-تیراندازی-با-کمان-از-هشتم-بهمن-ماه,['text-type']
می توانیم قهرمان المپیک شویم,https://www.varzesh3.com/news/1866638/می-توانیم-قهرمان-المپیک-شویم,['text-type']
آزادکاران دارای سهمیه جام تختی مشخص شدند ,https://www.varzesh3.com/news/1866635/آزادکاران-دارای-سهمیه-جام-تختی-مشخص-شدند,['text-type']
