name,year,director,rate,runtime,certificate,genre,gross
How to Steal a Million,1966,William Wyler,7.5,123 min,Approved,"Comedy, Crime, Romance",28.26
Mesrine: Killer Instinct,2008,Jean-François Richet,7.5,113 min,R,"Action, Biography, Crime",0.55
A Bittersweet Life,2005,Jee-woon Kim,7.5,119 min,Not Rated,"Action, Crime, Drama",40.933
Sin Nombre,2009,Cary Joji Fukunaga,7.5,96 min,R,"Adventure, Crime, Drama",2.53
The Lady from Shanghai,1947,Orson Welles,7.5,81 min,Not Rated,"Crime, Drama, Film-Noir",0.01
Mystery Train,1989,Jim Jarmusch,7.5,110 min,R,"Comedy, Crime, Drama",0.37
Delhi Belly,2011,Abhinay Deo,7.5,103 min,Not Rated,"Action, Comedy, Crime",1.53
The Blind Swordsman: Zatoichi,2003,Takeshi Kitano,7.5,116 min,R,"Action, Comedy, Crime",0.85
The Counterfeiters,2007,Stefan Ruzowitzky,7.5,99 min,R,"Crime, Drama, History",5.48
The Barbarian Invasions,2003,Denys Arcand,7.5,99 min,R,"Comedy, Crime, Drama",3.43
To Strike,2013,Bilal Lashari,7.5,130 min,,"Action, Crime, Drama",29.881
John Wick,2014,Chad Stahelski,7.4,101 min,R,"Action, Crime, Thriller",43.04
Nobody,(I) (2021),Ilya Naishuller,7.4,92 min,R,"Action, Crime, Drama",27.27
John Wick: Chapter 3 - Parabellum,2019,Chad Stahelski,7.4,130 min,R,"Action, Crime, Thriller",171.02
John Wick: Chapter 2,2017,Chad Stahelski,7.4,122 min,R,"Action, Crime, Thriller",92.03
In the Bedroom,2001,Todd Field,7.4,131 min,R,"Crime, Drama",35.93
Uncut Gems,2019,Benny Safdie,7.4,135 min,R,"Crime, Drama, Thriller",286.956
Law Abiding Citizen,2009,F. Gary Gray,7.4,109 min,R,"Action, Crime, Drama",73.34
Molly's Game,2017,Aaron Sorkin,7.4,140 min,R,"Biography, Crime, Drama",28.78
The Judge,2014,David Dobkin,7.4,141 min,R,"Crime, Drama",47.12
The Talented Mr. Ripley,1999,Anthony Minghella,7.4,139 min,R,"Crime, Drama, Thriller",81.3
Body Heat,1981,Lawrence Kasdan,7.4,113 min,R,"Crime, Drama, Romance",24.06
A History of Violence,2005,David Cronenberg,7.4,96 min,R,"Action, Crime, Drama",31.49
Dirty Rotten Scoundrels,1988,Frank Oz,7.4,110 min,PG,"Comedy, Crime",42.04
Calvary,2014,John Michael McDonagh,7.4,102 min,R,"Crime, Drama, Mystery",3.59
Bullitt,1968,Peter Yates,7.4,114 min,M/PG,"Action, Crime, Thriller",42.3
Felon,2008,Ric Roman Waugh,7.4,104 min,R,"Crime, Thriller",0.04
Marathon Man,1976,John Schlesinger,7.4,125 min,R,"Crime, Drama, Thriller",21.71
Green Street Hooligans,2005,Lexi Alexander,7.4,109 min,R,"Crime, Drama, Sport",0.34
Notes on a Scandal,2006,Richard Eyre,7.4,92 min,R,"Crime, Drama, Romance",17.51
Blow Out,1981,Brian De Palma,7.4,108 min,R,"Crime, Drama, Mystery",13.75
Frequency,2000,Gregory Hoblit,7.4,118 min,PG-13,"Crime, Drama, Mystery",45.01
Three Days of the Condor,1975,Sydney Pollack,7.4,117 min,R,"Crime, Mystery, Thriller",41.51
Straw Dogs,1971,Sam Peckinpah,7.4,113 min,R,"Crime, Drama, Thriller",61.336
Thief,1981,Michael Mann,7.4,123 min,R,"Action, Crime, Drama",11.49
Dolores Claiborne,1995,Taylor Hackford,7.4,132 min,R,"Crime, Drama, Mystery",24.36
And Justice for All,1979,Norman Jewison,7.4,119 min,R,"Crime, Drama, Thriller",35.835
Man Bites Dog,1992,Rémy Belvaux,7.4,95 min,NC-17,"Comedy, Crime, Drama",0.21
Les Misérables,1998,Bille August,7.4,134 min,PG-13,"Crime, Drama, Romance",14.1
Bad Education,2004,Pedro Almodóvar,7.4,106 min,NC-17,"Crime, Drama",5.21
Thesis,1996,Alejandro Amenábar,7.4,125 min,R,"Crime, Horror, Mystery",39.819
Blindspotting,2018,Carlos López Estrada,7.4,95 min,R,"Comedy, Crime, Drama",4.33
Bullets Over Broadway,1994,Woody Allen,7.4,98 min,R,"Comedy, Crime",13.38
Mesrine: Public Enemy No. 1,2008,Jean-François Richet,7.4,133 min,R,"Action, Biography, Crime",0.28
Maria Full of Grace,2004,Joshua Marston,7.4,101 min,R,"Crime, Drama",6.52
Hunting Season,2010,Yavuz Turgul,7.4,140 min,,"Crime, Drama, Mystery",35.002
Decision to Leave,2022,Park Chan-wook,7.3,139 min,16,"Crime, Drama, Mystery",27.859
Irreversible,2002,Gaspar Noé,7.3,97 min,Not Rated,"Crime, Drama, Mystery",0.75
The Nice Guys,2016,Shane Black,7.3,116 min,R,"Action, Comedy, Crime",36.26
Face/Off,1997,John Woo,7.3,138 min,R,"Action, Crime, Sci-Fi",112.23
El Camino: A Breaking Bad Movie,2019,Vince Gilligan,7.3,122 min,TV-MA,"Action, Crime, Drama",255.367
Beverly Hills Cop,1984,Martin Brest,7.3,105 min,R,"Action, Comedy, Crime",234.76
Cruella,2021,Craig Gillespie,7.3,134 min,PG-13,"Adventure, Comedy, Crime",86.1
The Guard,2011,John Michael McDonagh,7.3,96 min,R,"Comedy, Crime, Thriller",5.36
Rounders,1998,John Dahl,7.3,121 min,R,"Crime, Drama",22.91
The Place Beyond the Pines,2012,Derek Cianfrance,7.3,140 min,R,"Crime, Drama, Thriller",21.38
Southpaw,2015,Antoine Fuqua,7.3,124 min,R,"Action, Crime, Drama",52.42
Cape Fear,1991,Martin Scorsese,7.3,128 min,R,"Crime, Thriller",79.1
Layer Cake,2004,Matthew Vaughn,7.3,105 min,R,"Action, Crime, Drama",2.34
Fast Five,2011,Justin Lin,7.3,130 min,PG-13,"Action, Crime, Thriller",209.84
Monster,2003,Patty Jenkins,7.3,109 min,R,"Biography, Crime, Drama",34.47
Good Time,2017,Benny Safdie,7.3,102 min,R,"Crime, Drama, Thriller",2.03
The Basketball Diaries,1995,Scott Kalvert,7.3,102 min,R,"Biography, Crime, Drama",2.42
Shot Caller,2017,Ric Roman Waugh,7.3,121 min,R,"Crime, Drama, Thriller",88.546
The Lincoln Lawyer,2011,Brad Furman,7.3,118 min,R,"Crime, Drama, Mystery",58.01
Megamind,2010,Tom McGrath,7.3,95 min,PG,"Animation, Action, Comedy",148.42
Suspiria,1977,Dario Argento,7.3,92 min,R,"Crime, Horror",96.188
Heavenly Creatures,1994,Peter Jackson,7.3,99 min,R,"Biography, Crime, Drama",3.05
Wall Street,1987,Oliver Stone,7.3,126 min,R,"Crime, Drama",43.85
Sexy Beast,2000,Jonathan Glazer,7.3,89 min,R,"Crime, Drama, Thriller",6.95
Raising Arizona,1987,Joel Coen,7.3,94 min,PG-13,"Comedy, Crime",22.85
Bound,1996,Lana Wachowski,7.3,109 min,R,"Crime, Thriller",3.8
Before the Devil Knows You're Dead,2007,Sidney Lumet,7.3,117 min,R,"Crime, Drama, Thriller",7.08
Animal Kingdom,2010,David Michôd,7.3,113 min,R,"Crime, Drama",1.04
Official Secrets,2019,Gavin Hood,7.3,112 min,R,"Biography, Crime, Drama",0.4
Despicable Me 2,2013,Pierre Coffin,7.3,98 min,PG,"Animation, Adventure, Comedy",368.06
Shallow Grave,1994,Danny Boyle,7.3,89 min,R,"Crime, Thriller",2.88
Pusher,1996,Nicolas Winding Refn,7.3,110 min,Not Rated,"Crime, Thriller",0
Snowden,2016,Oliver Stone,7.3,134 min,R,"Biography, Crime, Drama",21.59
Murder by Death,1976,Robert Moore,7.3,95 min,PG,"Comedy, Crime, Mystery",39.028
Mr. Brooks,2007,Bruce A. Evans,7.3,120 min,R,"Crime, Drama, Thriller",28.48
To Live and Die in L.A.,1985,William Friedkin,7.3,116 min,R,"Action, Crime, Drama",17.31
Capote,2005,Bennett Miller,7.3,114 min,R,"Biography, Crime, Drama",28.75
The Next Three Days,2010,Paul Haggis,7.3,133 min,PG-13,"Action, Crime, Drama",21.15
Assault on Precinct 13,1976,John Carpenter,7.3,91 min,R,"Action, Crime, Thriller",51.721
Patriots Day,2016,Peter Berg,7.3,133 min,R,"Action, Crime, Drama",31.89
Four Lions,2010,Christopher Morris,7.3,97 min,R,"Comedy, Crime, Drama",0.3
The Getaway,1972,Sam Peckinpah,7.3,123 min,PG,"Action, Crime, Thriller",36.73
The Negotiator,1998,F. Gary Gray,7.3,140 min,R,"Action, Crime, Drama",44.48
Grosse Pointe Blank,1997,George Armitage,7.3,107 min,R,"Action, Comedy, Crime",28.01
Nikita,1990,Luc Besson,7.3,117 min,R,"Action, Crime, Drama",5.02
Detroit,2017,Kathryn Bigelow,7.3,143 min,R,"Crime, Drama, History",16.79
Drugstore Cowboy,1989,Gus Van Sant,7.3,101 min,R,"Crime, Drama",4.73
Matchstick Men,2003,Ridley Scott,7.3,116 min,PG-13,"Comedy, Crime, Drama",36.91
Hustle & Flow,2005,Craig Brewer,7.3,116 min,R,"Crime, Drama, Music",22.2
Running Scared,2006,Wayne Kramer,7.3,122 min,R,"Action, Crime, Drama",6.86
Get Carter,1971,Mike Hodges,7.3,112 min,R,"Action, Crime, Thriller",0.39
Starred Up,2013,David Mackenzie,7.3,106 min,Not Rated,"Crime, Drama",0.03
Master,2021,Lokesh Kanagaraj,7.3,179 min,Not Rated,"Action, Crime, Thriller",77.284
The Proposition,2005,John Hillcoat,7.3,104 min,R,"Crime, Drama, Western",1.9
The Girl Who Kicked the Hornet's Nest,2009,Daniel Alfredson,7.3,147 min,R,"Crime, Drama, Thriller",5.43
Max Manus: Man of War,2008,Joachim Rønning,7.3,118 min,Not Rated,"Action, Biography, Crime",28.617
The Stranger,1946,Orson Welles,7.3,95 min,Passed,"Crime, Drama, Film-Noir",27.049
The Baader Meinhof Complex,2008,Uli Edel,7.3,150 min,R,"Action, Biography, Crime",0.48
Dirty Pretty Things,2002,Stephen Frears,7.3,97 min,R,"Crime, Drama, Thriller",8.11
The Three Burials of Melquiades Estrada,2005,Tommy Lee Jones,7.3,121 min,R,"Adventure, Crime, Drama",5.02
Glass Onion,2022,Rian Johnson,7.2,139 min,PG-13,"Comedy, Crime, Drama",294.76
American Hustle,2013,David O. Russell,7.2,138 min,R,"Crime, Drama",150.12
Clue,1985,Jonathan Lynn,7.2,94 min,PG,"Comedy, Crime, Mystery",14.64
From Dusk Till Dawn,1996,Robert Rodriguez,7.2,108 min,R,"Action, Crime, Horror",25.75
The Equalizer,2014,Antoine Fuqua,7.2,132 min,R,"Action, Crime, Thriller",101.53
21 Jump Street,2012,Phil Lord,7.2,109 min,R,"Action, Comedy, Crime",138.45
DC League of Super-Pets,2022,Jared Stern,7.2,105 min,PG,"Animation, Action, Adventure",65.045
West Side Story,2021,Steven Spielberg,7.2,156 min,PG-13,"Crime, Drama, Musical",84.962
Strange Days,1995,Kathryn Bigelow,7.2,145 min,R,"Crime, Drama, Sci-Fi",7.92
Point Break,1991,Kathryn Bigelow,7.2,122 min,R,"Action, Crime, Thriller",43.22
Vanishing Point,1971,Richard C. Sarafian,7.2,99 min,R,"Action, Crime, Thriller",29.105
Heathers,1988,Michael Lehmann,7.2,103 min,R,"Comedy, Crime",1.11
Now You See Me,(I) (2013),Louis Leterrier,7.2,115 min,PG-13,"Crime, Mystery, Thriller",117.72
Chicago,2002,Rob Marshall,7.2,113 min,PG-13,"Comedy, Crime, Musical",170.69
Murder on the Orient Express,1974,Sidney Lumet,7.2,128 min,PG,"Crime, Drama, Mystery",0.07
Red Dragon,2002,Brett Ratner,7.2,124 min,R,"Crime, Drama, Thriller",93.15
RocknRolla,2008,Guy Ritchie,7.2,114 min,R,"Action, Crime, Thriller",5.69
Death on the Nile,1978,John Guillermin,7.2,140 min,PG,"Crime, Drama, Mystery",36.009
Manhunter,1986,Michael Mann,7.2,120 min,R,"Crime, Mystery, Thriller",8.62
The Bank Job,2008,Roger Donaldson,7.2,111 min,R,"Crime, Drama, Thriller",30.06
Natural Born Killers,1994,Oliver Stone,7.2,119 min,R,"Action, Crime, Drama",50.28
Wild at Heart,1990,David Lynch,7.2,125 min,R,"Comedy, Crime, Drama",14.56
Fracture,2007,Gregory Hoblit,7.2,113 min,R,"Crime, Drama, Thriller",39.02
Papillon,(I) (2017),Michael Noer,7.2,117 min,R,"Adventure, Biography, Crime",2.34
The Rainmaker,1997,Francis Ford Coppola,7.2,135 min,PG-13,"Crime, Drama, Thriller",45.86
Brick,2005,Rian Johnson,7.2,110 min,R,"Crime, Drama, Mystery",2.06
Lawless,2012,John Hillcoat,7.2,116 min,R,"Biography, Crime, Drama",37.4
The Crying Game,1992,Neil Jordan,7.2,112 min,R,"Crime, Drama, Romance",62.55
Ronin,1998,John Frankenheimer,7.2,122 min,R,"Action, Crime, Thriller",41.62
Top Secret!,1984,Jim Abrahams,7.2,90 min,PG,"Comedy, Crime, Music",20.5
Lethal Weapon 2,1989,Richard Donner,7.2,114 min,R,"Action, Crime, Thriller",147.25
Dope,2015,Rick Famuyiwa,7.2,103 min,R,"Adventure, Comedy, Crime",17.47
Go,1999,Doug Liman,7.2,102 min,R,"Comedy, Crime",16.84
Silverado,1985,Lawrence Kasdan,7.2,133 min,PG-13,"Action, Crime, Drama",33.2
Mean Streets,1973,Martin Scorsese,7.2,112 min,R,"Crime, Drama, Thriller",3.13
Michael Clayton,2007,Tony Gilroy,7.2,119 min,R,"Crime, Drama, Mystery",49.03
The Italian Job,1969,Peter Collinson,7.2,99 min,G,"Action, Comedy, Crime",47.185
In the Valley of Elah,2007,Paul Haggis,7.2,121 min,R,"Crime, Drama, Mystery",6.78
The Report,2019,Scott Z. Burns,7.2,119 min,R,"Biography, Crime, Drama",44.905
The Ghost Writer,2010,Roman Polanski,7.2,128 min,PG-13,"Crime, Drama, Mystery",15.54
In the Line of Fire,1993,Wolfgang Petersen,7.2,128 min,R,"Action, Crime, Drama",102.31
Frailty,2001,Bill Paxton,7.2,100 min,R,"Crime, Drama, Thriller",13.1
Harry Brown,2009,Daniel Barber,7.2,103 min,R,"Action, Crime, Drama",1.82
The Way of the Dragon,1972,Bruce Lee,7.2,90 min,R,"Action, Adventure, Comedy",4.06
'71,2014,Yann Demange,7.2,99 min,R,"Action, Crime, Drama",1.27
An American Crime,2007,Tommy O'Haver,7.2,98 min,R,"Biography, Crime, Drama",35.318
Magnum Force,1973,Ted Post,7.2,124 min,R,"Action, Crime, Mystery",4.56
Arlington Road,1999,Mark Pellington,7.2,117 min,R,"Action, Crime, Drama",24.36
Sleep Tight,2011,Jaume Balagueró,7.2,102 min,Not Rated,"Crime, Drama, Horror",43.713
Hard Eight,1996,Paul Thomas Anderson,7.2,101 min,R,"Crime, Drama",0.22
The Pink Panther Strikes Again,1976,Blake Edwards,7.2,103 min,PG,"Comedy, Crime",33.83
Mean Creek,2004,Jacob Estes,7.2,90 min,R,"Crime, Drama",0.6
Department Q: The Keeper of Lost Causes,2013,Mikkel Nørgaard,7.2,96 min,Not Rated,"Crime, Drama, Mystery",30.861
Nothing But the Truth,(I) (2008),Rod Lurie,7.2,108 min,R,"Crime, Drama, Thriller",0
Dogman,2018,Matteo Garrone,7.2,103 min,Not Rated,"Crime, Drama, Thriller",0.15
Marshland,2014,Alberto Rodríguez,7.2,105 min,TV-MA,"Action, Crime, Mystery",34.486
Conviction,(II) (2010),Tony Goldwyn,7.2,107 min,R,"Biography, Crime, Drama",6.78
Talaash: The Answer Lies Within,2012,Reema Kagti,7.2,140 min,Not Rated,"Crime, Drama, Mystery",2.71
Tsotsi,2005,Gavin Hood,7.2,94 min,R,"Crime, Drama",2.91
Take the Money and Run,1969,Woody Allen,7.2,85 min,PG,"Comedy, Crime",0.72
Holiday: A Soldier is Never Off Duty,2014,A.R. Murugadoss,7.2,160 min,Not Rated,"Action, Crime, Thriller",0.71
The Outfit,2022,Graham Moore,7.1,105 min,R,"Crime, Drama, Mystery",45.829
Wrath of Man,2021,Guy Ritchie,7.1,119 min,R,"Action, Crime, Thriller",181.545
The Devil All the Time,2020,Antonio Campos,7.1,138 min,R,"Crime, Drama, Thriller",137.883
American Made,2017,Doug Liman,7.1,115 min,R,"Action, Comedy, Crime",51.34
Seven Psychopaths,2012,Martin McDonagh,7.1,110 min,R,"Comedy, Crime",15.02
Side Effects,(I) (2013),Steven Soderbergh,7.1,106 min,R,"Crime, Drama, Mystery",32.17
Furious 7,2015,James Wan,7.1,137 min,PG-13,"Action, Crime, Thriller",353.01
Bad Times at the El Royale,2018,Drew Goddard,7.1,141 min,R,"Crime, Drama, Mystery",17.84
Don't Breathe,2016,Fede Alvarez,7.1,88 min,R,"Crime, Horror, Thriller",89.22
War Dogs,2016,Todd Phillips,7.1,114 min,R,"Biography, Comedy, Crime",43.03
Runaway Jury,2003,Gary Fleder,7.1,127 min,PG-13,"Crime, Drama, Thriller",49.44
Batman Returns,1992,Tim Burton,7.1,126 min,PG-13,"Action, Crime, Fantasy",162.83
The Unforgivable,2021,Nora Fingscheidt,7.1,112 min,R,"Crime, Drama",111.15
Desperado,1995,Robert Rodriguez,7.1,104 min,R,"Action, Crime, Thriller",25.63
Dressed to Kill,1980,Brian De Palma,7.1,104 min,R,"Crime, Drama, Mystery",31.9
Dredd,2012,Pete Travis,7.1,95 min,R,"Action, Crime, Sci-Fi",13.41
The Call,2020,Chung-Hyun Lee,7.1,112 min,TV-MA,"Crime, Horror, Mystery",34.57
Brawl in Cell Block 99,2017,S. Craig Zahler,7.1,132 min,Not Rated,"Action, Crime, Drama",68.753
Deja Vu,2006,Tony Scott,7.1,126 min,PG-13,"Action, Crime, Sci-Fi",64.04
The Accused,1988,Jonathan Kaplan,7.1,111 min,R,"Crime, Drama",32.07
Phone Booth,2002,Joel Schumacher,7.1,81 min,R,"Crime, Thriller",46.57
Gridiron Gang,2006,Phil Joanou,7.1,125 min,PG-13,"Biography, Crime, Drama",38.43
No Way Out,1987,Roger Donaldson,7.1,114 min,R,"Action, Crime, Drama",35.51
Elephant,2003,Gus Van Sant,7.1,81 min,R,"Crime, Drama, Thriller",1.23
Sneakers,1992,Phil Alden Robinson,7.1,126 min,PG-13,"Comedy, Crime, Drama",51.43
Bad Santa,2003,Terry Zwigoff,7.1,92 min,R,"Comedy, Crime, Drama",60.06
Marnie,1964,Alfred Hitchcock,7.1,130 min,PG,"Crime, Drama, Mystery",7
Rumble Fish,1983,Francis Ford Coppola,7.1,94 min,R,"Crime, Drama, Romance",2.49
John Q,2002,Nick Cassavetes,7.1,116 min,PG-13,"Crime, Drama, Thriller",71.76
Payback,(I) (1999),Brian Helgeland,7.1,100 min,R,"Action, Crime, Drama",81.53
Bad Education,2019,Cory Finley,7.1,108 min,TV-MA,"Biography, Comedy, Crime",41.035
Elle,2016,Paul Verhoeven,7.1,130 min,R,"Crime, Drama, Thriller",68.022
Blue Ruin,2013,Jeremy Saulnier,7.1,90 min,R,"Crime, Drama, Thriller",0.26
The White Tiger,2021,Ramin Bahrani,7.1,125 min,R,"Crime, Drama",61.318
99 Homes,2014,Ramin Bahrani,7.1,112 min,R,"Crime, Drama",1.41
Can You Ever Forgive Me?,2018,Marielle Heller,7.1,106 min,R,"Biography, Comedy, Crime",8.8
Tangerine,2015,Sean Baker,7.1,88 min,R,"Comedy, Crime, Drama",0.7
Ong-Bak: The Thai Warrior,2003,Prachya Pinkaew,7.1,105 min,R,"Action, Crime, Thriller",4.56
Klute,1971,Alan J. Pakula,7.1,114 min,R,"Crime, Mystery, Thriller",17.44
Casualties of War,1989,Brian De Palma,7.1,113 min,R,"Action, Crime, Drama",18.67
The Girl Who Played with Fire,2009,Daniel Alfredson,7.1,129 min,R,"Action, Crime, Drama",9.08
In the Fade,2017,Fatih Akin,7.1,106 min,R,"Crime, Drama, Thriller",0.32
Queen & Slim,2019,Melina Matsoukas,7.1,132 min,R,"Crime, Drama, Romance",32.363
State of Play,2009,Kevin Macdonald,7.1,127 min,PG-13,"Crime, Drama, Mystery",37.02
Chopper,2000,Andrew Dominik,7.1,94 min,R,"Biography, Crime, Drama",0.23
The Whistleblower,2010,Larysa Kondracki,7.1,112 min,R,"Biography, Crime, Drama",1.12
District B13,2004,Pierre Morel,7.1,84 min,R,"Action, Crime, Sci-Fi",1.2
In Order of Disappearance,2014,Hans Petter Moland,7.1,116 min,R,"Action, Comedy, Crime",0.05
God Bless America,2011,Bobcat Goldthwait,7.1,105 min,R,"Action, Comedy, Crime",0.12
Narc,2002,Joe Carnahan,7.1,105 min,R,"Crime, Drama, Mystery",10.46
Vikrant Rona,2022,Anup Bhandari,7.1,148 min,Not Rated,"Action, Crime, Drama",27.259
11:14,2003,Greg Marcks,7.1,86 min,R,"Comedy, Crime, Drama",48.396
JCVD,2008,Mabrouk El Mechri,7.1,97 min,R,"Action, Comedy, Crime",0.47
Don,(I) (2006),Farhan Akhtar,7.1,171 min,Not Rated,"Action, Crime, Thriller",0.8
Micmacs,2009,Jean-Pierre Jeunet,7.1,105 min,R,"Action, Comedy, Crime",1.26
Ruby & Quentin,2003,Francis Veber,7.1,85 min,Not Rated,"Comedy, Crime",29.454
Frozen River,2008,Courtney Hunt,7.1,97 min,R,"Crime, Drama",2.51
Dhamaka,2021,Ram Madhvani,7.1,103 min,TV-14,"Crime, Drama, Thriller",41.433
Kaabil,2017,Sanjay Gupta,7.1,139 min,Not Rated,"Action, Crime, Drama",27.536
Gabbar Is Back,2015,Radha Krishna Jagarlamudi,7.1,128 min,Not Rated,"Action, Crime, Drama",25.499
The Unbearable Weight of Massive Talent,2022,Tom Gormican,7,107 min,R,"Action, Comedy, Crime",94.037
The Outsiders,1983,Francis Ford Coppola,7,91 min,PG,"Crime, Drama",25.6
We're the Millers,2013,Rawson Marshall Thurber,7,110 min,R,"Comedy, Crime",150.39
Nightmare Alley,2021,Guillermo del Toro,7,150 min,R,"Crime, Drama, Thriller",146.607
Sicario: Day of the Soldado,2018,Stefano Sollima,7,122 min,R,"Action, Crime, Drama",50.07
Den of Thieves,2018,Christian Gudegast,7,140 min,R,"Action, Crime, Drama",44.95
RED,2010,Robert Schwentke,7,111 min,PG-13,"Action, Comedy, Crime",90.38
Logan Lucky,2017,Steven Soderbergh,7,118 min,PG-13,"Action, Comedy, Crime",27.78
Green Room,2015,Jeremy Saulnier,7,95 min,R,"Crime, Drama, Horror",3.22
The Italian Job,2003,F. Gary Gray,7,111 min,PG-13,"Action, Crime, Thriller",106.13
Burn After Reading,2008,Ethan Coen,7,96 min,R,"Comedy, Crime, Drama",60.36
The Drop,2014,Michaël R. Roskam,7,106 min,R,"Crime, Drama, Thriller",10.72
22 Jump Street,2014,Phil Lord,7,112 min,R,"Action, Comedy, Crime",191.72
The Last Boy Scout,1991,Tony Scott,7,105 min,R,"Action, Comedy, Crime",59.51
Public Enemies,2009,Michael Mann,7,140 min,R,"Action, Biography, Crime",97.1
Rush Hour,1998,Brett Ratner,7,98 min,PG-13,"Action, Comedy, Crime",141.15
The Mule,2018,Clint Eastwood,7,116 min,R,"Crime, Drama, Thriller",103.8
Out of Sight,1998,Steven Soderbergh,7,123 min,R,"Comedy, Crime, Drama",37.56
Chip 'n Dale: Rescue Rangers,2022,Akiva Schaffer,7,97 min,PG,"Animation, Action, Adventure",41.473
Fast & Furious 6,2013,Justin Lin,7,130 min,PG-13,"Action, Crime, Thriller",238.68
Super Troopers,2001,Jay Chandrasekhar,7,100 min,R,"Comedy, Crime, Mystery",18.49
The Pink Panther,1963,Blake Edwards,7,115 min,Approved,"Comedy, Crime, Romance",10.88
Fallen,1998,Gregory Hoblit,7,124 min,R,"Action, Crime, Drama",25.19
Soylent Green,1973,Richard Fleischer,7,97 min,PG,"Crime, Mystery, Sci-Fi",7.92
Bronson,2008,Nicolas Winding Refn,7,92 min,R,"Action, Crime, Drama",0.1
Border,2018,Ali Abbasi,7,110 min,R,"Crime, Drama, Fantasy",0.77
Unleashed,2005,Louis Leterrier,7,103 min,R,"Action, Crime, Drama",24.52
Big Eyes,(I) (2014),Tim Burton,7,106 min,PG-13,"Biography, Crime, Drama",14.48
Cop Land,1997,James Mangold,7,105 min,R,"Crime, Drama, Thriller",44.89
A Most Violent Year,2014,J.C. Chandor,7,125 min,R,"Action, Crime, Drama",5.74
Filth,(I) (2013),Jon S. Baird,7,97 min,R,"Action, Comedy, Crime",0.03
Boiler Room,2000,Ben Younger,7,120 min,R,"Crime, Drama, Thriller",16.94
The Infiltrator,2016,Brad Furman,7,127 min,R,"Biography, Crime, Drama",15.43
Breakdown,(I) (1997),Jonathan Mostow,7,93 min,R,"Crime, Drama, Mystery",50.13
Spy Game,2001,Tony Scott,7,126 min,R,"Action, Crime, Thriller",0.03
A Scanner Darkly,2006,Richard Linklater,7,100 min,R,"Animation, Comedy, Crime",5.5
American Animals,2018,Bart Layton,7,116 min,R,"Biography, Crime, Drama",2.86
Tie Me Up! Tie Me Down!,1989,Pedro Almodóvar,7,101 min,R,"Comedy, Crime, Drama",4.09
The Return of the Pink Panther,1975,Blake Edwards,7,113 min,G,"Comedy, Crime, Mystery",41.83
Bad Lieutenant,1992,Abel Ferrara,7,96 min,NC-17,"Crime, Drama, Thriller",2
Ichi the Killer,2001,Takashi Miike,7,129 min,R,"Action, Crime, Drama",0.02
Kill the Irishman,2011,Jonathan Hensleigh,7,106 min,R,"Biography, Crime, Drama",1.19
Confessions of a Dangerous Mind,2002,George Clooney,7,113 min,R,"Biography, Comedy, Crime",16
Juice,1992,Ernest R. Dickerson,7,95 min,R,"Action, Crime, Drama",20.15
Taxi,(I) (1998),Gérard Pirès,7,86 min,Not Rated,"Action, Comedy, Crime",0.27
Henry: Portrait of a Serial Killer,1986,John McNaughton,7,83 min,18+,"Biography, Crime, Drama",0.61
Unthinkable,2010,Gregor Jordan,7,97 min,R,"Crime, Drama, Thriller",89.293
8 Women,2002,François Ozon,7,111 min,R,"Comedy, Crime, Musical",3.08
Thunderbolt and Lightfoot,1974,Michael Cimino,7,115 min,R,"Action, Comedy, Crime",25
Breach,2007,Billy Ray,7,110 min,PG-13,"Biography, Crime, Drama",33.23
Gomorrah,2008,Matteo Garrone,7,137 min,Not Rated,"Crime, Drama",1.58
The Salton Sea,2002,D.J. Caruso,7,103 min,R,"Crime, Drama, Mystery",0.76
Don 2,2011,Farhan Akhtar,7,148 min,Not Rated,"Action, Crime, Thriller",3.68
The Protector,2005,Prachya Pinkaew,7,111 min,R,"Action, Crime, Drama",11.91
Find Me Guilty,2006,Sidney Lumet,7,125 min,R,"Biography, Comedy, Crime",1.17
The Lookout,2007,Scott Frank,7,99 min,R,"Crime, Drama, Thriller",4.6
The Angels' Share,2012,Ken Loach,7,101 min,R,"Comedy, Crime, Drama",0.3
Robot & Frank,2012,Jake Schreier,7,89 min,PG-13,"Comedy, Crime, Drama",3.33
Heaven,(I) (2002),Tom Tykwer,7,97 min,R,"Crime, Drama, Romance",0.77
Rustom,2016,Tinu Suresh Desai,7,148 min,Not Rated,"Crime, Drama, Thriller",1.09
Legend,2019,Brian Helgeland,6.9,132 min,R,"Biography, Crime, Drama",1.87
Fletch,1985,Michael Ritchie,6.9,98 min,PG,"Comedy, Crime, Mystery",50.61
Horrible Bosses,2011,Seth Gordon,6.9,98 min,R,"Comedy, Crime",117.54
Ocean's Thirteen,2007,Steven Soderbergh,6.9,122 min,PG-13,"Crime, Thriller",117.15
Game Night,(I) (2018),John Francis Daley,6.9,100 min,R,"Action, Adventure, Comedy",69.18
The Mask,1994,Chuck Russell,6.9,101 min,PG-13,"Action, Comedy, Crime",119.94
Black Mass,2015,Scott Cooper,6.9,123 min,R,"Biography, Crime, Drama",62.58
Con Air,1997,Simon West,6.9,115 min,R,"Action, Crime, Thriller",101.12
I Don't Feel at Home in This World Anymore,2017,Macon Blair,6.9,93 min,TV-MA,"Comedy, Crime, Drama",59.467
