name,year,director,rate,runtime,certificate,genre,gross
On the Waterfront,1954,Elia Kazan,8.1,108 min,Approved,"Crime, Drama, Thriller",9.6
Paper Moon,1973,Peter Bogdanovich,8.1,102 min,PG,"Comedy, Crime, Drama",30.93
The 400 Blows,1959,François Truffaut,8.1,99 min,Not Rated,"Crime, Drama",119.693
Diabolique,1955,Henri-Georges Clouzot,8.1,117 min,Not Rated,"Crime, Drama, Horror",1.09
Time of the Gypsies,1988,Emir Kusturica,8.1,142 min,R,"Comedy, Crime, Drama",0.28
Rang De Basanti - Die Farbe Safran,2006,Rakeysh Omprakash Mehra,8.1,167 min,Not Rated,"Comedy, Crime, Drama",2.2
Rififi,1955,Jules Dassin,8.1,118 min,Not Rated,"Crime, Drama, Thriller",0.06
Pink,2016,Aniruddha Roy Chowdhury,8.1,136 min,Not Rated,"Crime, Drama, Thriller",1.24
Article 15,2019,Anubhav Sinha,8.1,130 min,Not Rated,"Crime, Drama, Mystery",34.392
Talvar,2015,Meghna Gulzar,8.1,132 min,Not Rated,"Crime, Drama, Mystery",0.34
A Wednesday,2008,Neeraj Pandey,8.1,104 min,Not Rated,"Action, Crime, Drama",79.435
The Bandit,1996,Yavuz Turgul,8.1,128 min,Not Rated,"Crime, Drama, Thriller",70.529
Hera Pheri,2000,Priyadarshan,8.1,156 min,Not Rated,"Action, Comedy, Crime",68.019
Sin City,2005,Frank Miller,8,124 min,R,"Crime, Thriller",74.1
Zootopia,2016,Byron Howard,8,108 min,PG,"Animation, Adventure, Comedy",341.27
The Invisible Guest,2016,Oriol Paulo,8,106 min,TV-MA,"Crime, Drama, Mystery",178.658
Slumdog Millionaire,2008,Danny Boyle,8,120 min,R,"Crime, Drama, Romance",141.32
Perfect Blue,1997,Satoshi Kon,8,81 min,R,"Animation, Adult, Crime",0.78
Kill Bill: Vol. 2,2004,Quentin Tarantino,8,137 min,R,"Action, Crime, Thriller",66.21
Butch Cassidy and the Sundance Kid,1969,George Roy Hill,8,110 min,PG,"Biography, Crime, Drama",102.31
Dog Day Afternoon,1975,Sidney Lumet,8,125 min,R,"Biography, Crime, Drama",50
Dogville,2003,Lars von Trier,8,178 min,R,"Crime, Drama",1.53
Chungking Express,1994,Kar-Wai Wong,8,102 min,PG-13,"Comedy, Crime, Drama",0.6
Papillon,1973,Franklin J. Schaffner,8,151 min,R,"Biography, Crime, Drama",53.27
Infernal Affairs,2002,Andrew Lau,8,101 min,R,"Action, Crime, Drama",0.17
The Maltese Falcon,1941,John Huston,8,100 min,Passed,"Crime, Film-Noir, Mystery",2.11
The Night of the Hunter,1955,Charles Laughton,8,92 min,Not Rated,"Crime, Drama, Film-Noir",0.65
Elite Squad,2007,José Padilha,8,115 min,R,"Action, Crime, Drama",0.01
Touch of Evil,1958,Orson Welles,8,95 min,PG-13,"Crime, Drama, Film-Noir",2.24
The Killing,1956,Stanley Kubrick,8,84 min,Approved,"Crime, Drama, Film-Noir",91.17
Le Samouraï,1967,Jean-Pierre Melville,8,101 min,GP,"Crime, Drama",0.04
Out of the Past,1947,Jacques Tourneur,8,97 min,Not Rated,"Crime, Drama, Film-Noir",38.206
"Black Cat, White Cat",1998,Emir Kusturica,8,127 min,R,"Comedy, Crime, Romance",0.35
Elite Squad 2: The Enemy Within,2010,José Padilha,8,115 min,Not Rated,"Crime, Drama, Thriller",0.1
Haider,2014,Vishal Bhardwaj,8,160 min,Not Rated,"Action, Crime, Drama",0.9
Kind Hearts and Coronets,1949,Robert Hamer,8,106 min,Not Rated,"Comedy, Crime",37.918
Special 26,2013,Neeraj Pandey,8,144 min,Not Rated,"Crime, Drama, Thriller",1.08
Knives Out,2019,Rian Johnson,7.9,130 min,PG-13,"Comedy, Crime, Drama",165.36
The Blues Brothers,1980,John Landis,7.9,133 min,R,"Action, Adventure, Comedy",57.23
In Bruges,2008,Martin McDonagh,7.9,107 min,R,"Comedy, Crime, Drama",7.76
True Romance,1993,Tony Scott,7.9,119 min,R,"Crime, Drama, Romance",12.28
Mystic River,2003,Clint Eastwood,7.9,138 min,R,"Crime, Drama, Mystery",90.14
Fantastic Mr. Fox,2009,Wes Anderson,7.9,87 min,PG,"Animation, Adventure, Comedy",21
Carlito's Way,1993,Brian De Palma,7.9,144 min,R,"Crime, Drama, Thriller",36.95
Shoplifters,2018,Hirokazu Koreeda,7.9,121 min,R,"Crime, Drama, Thriller",3.31
"Blood In, Blood Out",1993,Taylor Hackford,7.9,180 min,R,"Crime, Drama",4.5
Ghost in the Shell,1995,Mamoru Oshii,7.9,83 min,TV-MA,"Animation, Action, Crime",0.52
The Raid 2,2014,Gareth Evans,7.9,150 min,R,"Action, Crime, Thriller",2.63
Rope,1948,Alfred Hitchcock,7.9,80 min,Approved,"Crime, Drama, Mystery",145.597
Dancer in the Dark,2000,Lars von Trier,7.9,140 min,R,"Crime, Drama, Musical",4.18
Once Were Warriors,1994,Lee Tamahori,7.9,102 min,R,"Crime, Drama",2.2
Strangers on a Train,1951,Alfred Hitchcock,7.9,92 min,PG,"Crime, Drama, Film-Noir",7.63
The Big Sleep,1946,Howard Hawks,7.9,114 min,Passed,"Crime, Film-Noir, Mystery",6.54
In Cold Blood,1967,Richard Brooks,7.9,134 min,R,"Biography, Crime, Drama",27.187
The Thin Man,1934,W.S. Van Dyke,7.9,91 min,TV-PG,"Comedy, Crime, Mystery",30.672
Arsenic and Old Lace,1944,Frank Capra,7.9,118 min,Not Rated,"Comedy, Crime, Thriller",71.916
3-Iron,2004,Kim Ki-duk,7.9,88 min,R,"Crime, Drama, Romance",0.24
Nine Queens,2000,Fabián Bielinsky,7.9,114 min,R,"Crime, Drama, Thriller",1.22
Mildred Pierce,1945,Michael Curtiz,7.9,111 min,Approved,"Crime, Drama, Film-Noir",26.524
Le Cercle Rouge,1970,Jean-Pierre Melville,7.9,140 min,Not Rated,"Crime, Drama, Thriller",0.37
Elevator to the Gallows,1958,Louis Malle,7.9,91 min,Not Rated,"Crime, Drama, Thriller",0.11
The Big Heat,1953,Fritz Lang,7.9,89 min,Passed,"Crime, Film-Noir, Thriller",27.256
Baby,2019,Neeraj Pandey,7.9,159 min,Not Rated,"Action, Crime, Thriller",58.324
The Batman,2022,Matt Reeves,7.8,176 min,PG-13,"Action, Crime, Drama",660.53
The Gentlemen,2019,Guy Ritchie,7.8,113 min,R,"Action, Comedy, Crime",36.47
The Hateful Eight,2015,Quentin Tarantino,7.8,168 min,R,"Crime, Drama, Mystery",54.12
The Irishman,2019,Martin Scorsese,7.8,209 min,R,"Biography, Crime, Drama",7
Nightcrawler,2014,Dan Gilroy,7.8,117 min,R,"Crime, Drama, Thriller",32.38
The Girl with the Dragon Tattoo,2011,David Fincher,7.8,158 min,R,"Crime, Drama, Mystery",102.52
The Fugitive,1993,Andrew Davis,7.8,130 min,PG-13,"Action, Crime, Drama",183.88
Crash,2016,Paul Haggis,7.8,112 min,R,"Crime, Drama, Thriller",54.58
The Untouchables,1987,Brian De Palma,7.8,119 min,R,"Crime, Drama, Thriller",76.27
Taken,(I) (2008),Pierre Morel,7.8,90 min,PG-13,"Action, Crime, Thriller",145
I Saw the Devil,2010,Jee-woon Kim,7.8,144 min,Not Rated,"Action, Crime, Drama",0.13
A Bronx Tale,1993,Robert De Niro,7.8,121 min,R,"Crime, Drama",17.27
American Gangster,2007,Ridley Scott,7.8,157 min,R,"Biography, Crime, Drama",130.16
Captain Phillips,2013,Paul Greengrass,7.8,134 min,PG-13,"Action, Biography, Crime",107.1
Boyz n the Hood,1991,John Singleton,7.8,112 min,R,"Crime, Drama",57.5
The Day of the Jackal,1973,Fred Zinnemann,7.8,143 min,PG,"Crime, Drama, Thriller",16.06
The Girl with the Dragon Tattoo,2009,Niels Arden Oplev,7.8,152 min,R,"Crime, Drama, Mystery",10.1
The King of Comedy,1982,Martin Scorsese,7.8,109 min,PG,"Comedy, Crime, Drama",2.5
The Best Offer,2013,Giuseppe Tornatore,7.8,131 min,R,"Crime, Drama, Mystery",0.09
Mississippi Burning,1988,Alan Parker,7.8,128 min,R,"Crime, Drama, Mystery",34.6
Changeling,2008,Clint Eastwood,7.8,141 min,R,"Biography, Crime, Drama",35.74
Gangubai Kathiawadi,2022,Sanjay Leela Bhansali,7.8,152 min,TV-MA,"Biography, Crime, Drama",56.499
Gaslight,1944,George Cukor,7.8,114 min,Passed,"Crime, Drama, Mystery",30.302
Mother,2009,Bong Joon Ho,7.8,129 min,R,"Crime, Drama, Mystery",0.55
The Chaser,2008,Na Hong-jin,7.8,125 min,Not Rated,"Action, Crime, Drama",67.776
Lilya 4-Ever,2002,Lukas Moodysson,7.8,109 min,R,"Crime, Drama",0.18
Batman: Mask of the Phantasm,1993,Kevin Altieri,7.8,76 min,PG,"Animation, Action, Adventure",5.62
A Prophet,2009,Jacques Audiard,7.8,155 min,R,"Crime, Drama",2.08
Cowboy Bebop: The Movie,2001,Shin'ichirô Watanabe,7.8,115 min,TV-14,"Animation, Action, Crime",1
Badla,2019,Sujoy Ghosh,7.8,118 min,Not Rated,"Crime, Drama, Mystery",1.86
The Asphalt Jungle,1950,John Huston,7.8,112 min,Passed,"Crime, Drama, Film-Noir",27.955
The Killer,1989,John Woo,7.8,111 min,R,"Action, Crime, Drama",49.062
Once Upon a Time in Anatolia,2011,Nuri Bilge Ceylan,7.8,163 min,Not Rated,"Crime, Drama, Thriller",0.14
Knockin' on Heaven's Door,1997,Thomas Jahn,7.8,87 min,Not Rated,"Action, Crime, Comedy",0
Road to Perdition,2002,Sam Mendes,7.7,117 min,R,"Crime, Drama, Thriller",104.45
Wind River,2017,Taylor Sheridan,7.7,107 min,R,"Crime, Drama, Mystery",33.8
Zodiac,2007,David Fincher,7.7,157 min,R,"Crime, Drama, Mystery",33.08
Primal Fear,1996,Gregory Hoblit,7.7,129 min,R,"Crime, Drama, Mystery",56.12
Ocean's Eleven,2001,Steven Soderbergh,7.7,116 min,PG-13,"Crime, Thriller",183.42
Blue Velvet,1986,David Lynch,7.7,120 min,R,"Crime, Drama, Mystery",8.55
"O Brother, Where Art Thou?",2000,Joel Coen,7.7,107 min,PG-13,"Adventure, Comedy, Crime",45.51
Training Day,2001,Antoine Fuqua,7.7,122 min,R,"Action, Crime, Drama",76.63
Donnie Brasco,1997,Mike Newell,7.7,127 min,R,"Biography, Crime, Drama",41.91
Lucky Number Slevin,2006,Paul McGuigan,7.7,110 min,R,"Crime, Drama, Thriller",22.49
3:10 to Yuma,2007,James Mangold,7.7,122 min,R,"Action, Crime, Drama",53.61
Who Framed Roger Rabbit,1988,Robert Zemeckis,7.7,104 min,PG,"Animation, Adventure, Comedy",156.45
Man on Fire,2004,Tony Scott,7.7,146 min,R,"Action, Crime, Drama",77.91
Glengarry Glen Ross,1992,James Foley,7.7,100 min,R,"Crime, Drama, Mystery",10.73
Serpico,1973,Sidney Lumet,7.7,130 min,R,"Biography, Crime, Drama",29.8
The French Connection,1971,William Friedkin,7.7,104 min,18+,"Action, Crime, Drama",15.63
Dirty Harry,1971,Don Siegel,7.7,102 min,R,"Action, Crime, Thriller",35.9
Bonnie and Clyde,1967,Arthur Penn,7.7,111 min,R,"Action, Biography, Crime",114.7
This Is England,2006,Shane Meadows,7.7,101 min,Not Rated,"Crime, Drama",0.33
Miller's Crossing,1990,Joel Coen,7.7,115 min,R,"Crime, Drama, Thriller",5.08
Badlands,1973,Terrence Malick,7.7,94 min,PG,"Action, Crime, Drama",74.217
Run Lola Run,1998,Tom Tykwer,7.7,80 min,R,"Action, Crime, Thriller",7.27
Breathless,1960,Jean-Luc Godard,7.7,90 min,Not Rated,"Crime, Drama",0.34
The Man from Nowhere,2010,Jeong-beom Lee,7.7,119 min,R,"Action, Crime, Drama",0.01
Scarface,1932,Howard Hawks,7.7,93 min,PG,"Action, Crime, Drama",28.602
Hard Boiled,1992,John Woo,7.7,128 min,R,"Action, Crime, Thriller",51.389
Key Largo,1948,John Huston,7.7,100 min,Not Rated,"Action, Crime, Drama",41.731
Adam's Apples,2005,Anders Thomas Jensen,7.7,94 min,R,"Comedy, Crime, Drama",0
Down by Law,1986,Jim Jarmusch,7.7,107 min,R,"Comedy, Crime, Drama",1.44
Fireworks,1997,Takeshi Kitano,7.7,103 min,16,"Crime, Drama, Romance",0.23
Vera Drake,2004,Mike Leigh,7.7,125 min,R,"Crime, Drama",3.75
Udta Punjab,2016,Abhishek Chaubey,7.7,148 min,Not Rated,"Action, Crime, Drama",31.076
American Psycho,2000,Mary Harron,7.6,102 min,R,"Crime, Drama, Horror",15.07
Sicario,2015,Denis Villeneuve,7.6,121 min,R,"Action, Crime, Drama",46.89
Baby Driver,2017,Edgar Wright,7.6,113 min,R,"Action, Crime, Drama",107.83
Minority Report,2002,Steven Spielberg,7.6,145 min,PG-13,"Action, Crime, Mystery",132.07
